Date,Close
07/07/2017,1.1306
10/07/2017,1.1293
11/07/2017,1.1247
12/07/2017,1.1287
13/07/2017,1.1342
14/07/2017,1.1434
17/07/2017,1.139
18/07/2017,1.1241
19/07/2017,1.1324
20/07/2017,1.1164
21/07/2017,1.1145
24/07/2017,1.1206
25/07/2017,1.1191
26/07/2017,1.1226
27/07/2017,1.1219
28/07/2017,1.1168
31/07/2017,1.1182
01/08/2017,1.1202
02/08/2017,1.1152
03/08/2017,1.1065
04/08/2017,1.1096
07/08/2017,1.104
08/08/2017,1.104
09/08/2017,1.1063
10/08/2017,1.1056
11/08/2017,1.1005
14/08/2017,1.1022
15/08/2017,1.0968
16/08/2017,1.0996
17/08/2017,1.0976
18/08/2017,1.0943
21/08/2017,1.0922
22/08/2017,1.091
23/08/2017,1.0829
24/08/2017,1.0841
25/08/2017,1.0847
29/08/2017,1.0771
30/08/2017,1.0846
31/08/2017,1.0837
01/09/2017,1.0923
04/09/2017,1.0877
05/09/2017,1.0931
06/09/2017,1.0947
07/09/2017,1.0918
08/09/2017,1.097
11/09/2017,1.1001
12/09/2017,1.1095
13/09/2017,1.1102
14/09/2017,1.1244
15/09/2017,1.1365
18/09/2017,1.1339
19/09/2017,1.1291
20/09/2017,1.1311
21/09/2017,1.1359
22/09/2017,1.1303
25/09/2017,1.1365
26/09/2017,1.1402
27/09/2017,1.141
28/09/2017,1.1408
29/09/2017,1.1349
02/10/2017,1.1313
03/10/2017,1.1269
04/10/2017,1.129
05/10/2017,1.1216
06/10/2017,1.1128
09/10/2017,1.1188
10/10/2017,1.1185
11/10/2017,1.1135
12/10/2017,1.1114
13/10/2017,1.1241
16/10/2017,1.1259
17/10/2017,1.1207
18/10/2017,1.1184
19/10/2017,1.114
20/10/2017,1.119
23/10/2017,1.1226
24/10/2017,1.1154
25/10/2017,1.1221
26/10/2017,1.1254
27/10/2017,1.1322
30/10/2017,1.1349
31/10/2017,1.14
01/11/2017,1.1412
02/11/2017,1.1195
03/11/2017,1.1248
06/11/2017,1.1325
07/11/2017,1.1353
08/11/2017,1.1307
09/11/2017,1.1285
10/11/2017,1.1337
13/11/2017,1.124
14/11/2017,1.1159
15/11/2017,1.1154
16/11/2017,1.1209
17/11/2017,1.1209
20/11/2017,1.1289
21/11/2017,1.1283
22/11/2017,1.1269
23/11/2017,1.1228
24/11/2017,1.1186
27/11/2017,1.1192
28/11/2017,1.1147
29/11/2017,1.1319
30/11/2017,1.1348
01/12/2017,1.137
04/12/2017,1.1375
05/12/2017,1.1372
06/12/2017,1.1352
07/12/2017,1.138
08/12/2017,1.1382
11/12/2017,1.1328
12/12/2017,1.1358
13/12/2017,1.1365
14/12/2017,1.1398
15/12/2017,1.1321
18/12/2017,1.1343
19/12/2017,1.1303
20/12/2017,1.1281
21/12/2017,1.1259
22/12/2017,1.1295
27/12/2017,1.1265
28/12/2017,1.1256
29/12/2017,1.127
02/01/2018,1.1274
03/01/2018,1.124
04/01/2018,1.1224
05/01/2018,1.1269
08/01/2018,1.1339
09/01/2018,1.1337
10/01/2018,1.1293
11/01/2018,1.1233
12/01/2018,1.1269
15/01/2018,1.1258
16/01/2018,1.1264
17/01/2018,1.13
18/01/2018,1.1342
19/01/2018,1.1328
22/01/2018,1.14
23/01/2018,1.1404
24/01/2018,1.1487
25/01/2018,1.1437
26/01/2018,1.1408
29/01/2018,1.1381
30/01/2018,1.1371
31/01/2018,1.1416
01/02/2018,1.1417
02/02/2018,1.1357
05/02/2018,1.1285
06/02/2018,1.1266
07/02/2018,1.1293
08/02/2018,1.1422
09/02/2018,1.127
12/02/2018,1.1246
13/02/2018,1.1231
14/02/2018,1.1256
15/02/2018,1.1265
16/02/2018,1.1279
19/02/2018,1.1288
20/02/2018,1.1347
21/02/2018,1.1347
22/02/2018,1.1313
23/02/2018,1.1362
26/02/2018,1.1344
27/02/2018,1.1341
28/02/2018,1.1299
01/03/2018,1.1269
02/03/2018,1.1185
05/03/2018,1.1233
06/03/2018,1.1198
07/03/2018,1.1203
08/03/2018,1.1218
09/03/2018,1.1257
12/03/2018,1.1283
13/03/2018,1.1282
14/03/2018,1.1281
15/03/2018,1.1321
16/03/2018,1.1334
19/03/2018,1.1379
20/03/2018,1.1418
21/03/2018,1.1463
22/03/2018,1.1451
23/03/2018,1.1448
26/03/2018,1.1431
27/03/2018,1.1413
28/03/2018,1.1415
29/03/2018,1.141
03/04/2018,1.1437
04/04/2018,1.1452
05/04/2018,1.1447
06/04/2018,1.1485
09/04/2018,1.1475
10/04/2018,1.1476
11/04/2018,1.1472
12/04/2018,1.1553
13/04/2018,1.1556
16/04/2018,1.1582
17/04/2018,1.1591
18/04/2018,1.1501
19/04/2018,1.1502
20/04/2018,1.1422
23/04/2018,1.1415
24/04/2018,1.1432
25/04/2018,1.1447
26/04/2018,1.1503
27/04/2018,1.1399
30/04/2018,1.1402
01/05/2018,1.1337
02/05/2018,1.1374
03/05/2018,1.1332
04/05/2018,1.1331
08/05/2018,1.1404
09/05/2018,1.1452
10/05/2018,1.1337
11/05/2018,1.1346
14/05/2018,1.1359
15/05/2018,1.1378
16/05/2018,1.1439
17/05/2018,1.1454
18/05/2018,1.145
21/05/2018,1.1413
22/05/2018,1.1398
23/05/2018,1.1399
24/05/2018,1.1408
25/05/2018,1.1424
29/05/2018,1.1476
30/05/2018,1.1433
31/05/2018,1.14
01/06/2018,1.1429
04/06/2018,1.1397
05/06/2018,1.1434
